description,location,price_naira,bedrooms,bathrooms,city,house_type,building_age
4 Bedroom Flat,Banana Island Banana Island Ikoyi Lagos,40000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
3 Bedroom Flat,Ikate Lekki Lagos,5000000.0,3.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Flat,Ajao Estate Isolo Lagos,3000000.0,2.0,2.0,Isolo,flat & apartment,Old
Studio Apartment,Mobolaji Johnson Estate Lekki Phase 1 Lekki Lagos,3000000.0,1.0,1.0,Lekki,flat & apartment,Old
Mini Flat,Jakande Lekki Lagos,3000000.0,1.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Flat,Off Ajose Adeogun Road Victoria Island Lagos,10000000.0,2.0,2.0,Victoria Island,flat & apartment,Old
4 Bedroom Terrace Duplex,Mobile Road Ilaje Ajah Lagos,5000000.0,4.0,4.0,Ajah,duplex,Old
2 Bedroom Flat,Back Of Dome Church Freedom Way Lekki Phase 1 Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Flat,Ilasan Lekki Lagos,6000000.0,2.0,2.0,Lekki,flat & apartment,Old
Mini Flat,United Estate Sangotedo Ajah Lagos,1500000.0,1.0,2.0,Ajah,flat & apartment,Old
4 Bedroom Maisonette,Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,maisonette,Old
Newly Built 4 Bedroom Detached Duplex,Ikota Lekki Lagos,11000000.0,4.0,4.0,Lekki,duplex,New
3 Bedroom Apartment,Ikoyi Lagos,50000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
4 Bedroom Terraced Duplex,Oniru Victoria Island Lagos,25000000.0,4.0,4.0,Victoria Island,duplex,Old
4 Bedroom Terraced Duplex,Ikate Lekki Lagos,15000000.0,4.0,4.0,Lekki,duplex,Old
3 Bedroom Penthouse,Victoria Island Lagos,28000000.0,3.0,3.0,Victoria Island,penthouse,Old
2 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,10000000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Ikoyi Lagos,30000000.0,4.0,4.0,Ikoyi,duplex,Old
3 Bedroom Apartment,Off Freedom Way Lekki Lagos,14000000.0,3.0,3.0,Lekki,flat & apartment,Old
Neatly Built 4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,25000000.0,4.0,4.0,Lekki,duplex,Old
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,12000000.0,2.0,2.0,Lekki,flat & apartment,Old
Serviced 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,20000000.0,2.0,2.0,Lekki,flat & apartment,Old
Newly Built 2 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,9500000.0,2.0,2.0,Lekki,maisonette,New
4 Bedroom Terraced Duplex,Orchid Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 4 Bedroom Semi Detached Duplex,Harris Drive Vgc Lekki Lagos,7000000.0,4.0,3.0,Lekki,duplex,Old
2 Bedroom Apartment,Lekki Lagos,10000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Terrace Duplex,Ikate Lekki Lagos,10000000.0,3.0,3.0,Lekki,duplex,Old
Newly Built 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,9000000.0,4.0,4.0,Lekki,duplex,New
Newly Built 3 Bedroom Apartment,Ikota Lekki Lagos,6000000.0,3.0,3.0,Lekki,flat & apartment,New
2 Bedroom Apartment,Ikate Lekki Lagos,12000000.0,2.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Ikate Lekki Lagos,7000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos,15000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Semi Detached Duplex,Parkview Estate Ikoyi Lagos,45000000.0,4.0,5.0,Ikoyi,duplex,Old
Furnished 2 Bedroom Apartment,Ikate Lekki Lagos,14000000.0,2.0,2.0,Lekki,flat & apartment,Old
Furnished 4 Bedroom Terrace Duplex,Vgc Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 3 Bedroom Terrace Duplex,Vgc Lekki Lagos,6500000.0,3.0,3.0,Lekki,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Ikoyi Lagos,34000000.0,4.0,4.0,Ikoyi,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,7500000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,Bourdillon Ikoyi Lagos,30000000.0,3.0,3.0,Ikoyi,flat & apartment,Old
Newly Built 2 Bedroom Apartment,Osapa London Lekki Lagos,6500000.0,2.0,2.0,Lekki,flat & apartment,New
3 Bedroom Penthouse,Lekki Phase 1 Lekki Lagos,13000000.0,3.0,3.0,Lekki,penthouse,Old
3 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Vgc Lekki Lagos,7000000.0,4.0,4.0,Lekki,duplex,Old
Newly Built 4 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,30000000.0,4.0,4.0,Lekki,maisonette,New
Serviced 2 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Apartment,2nd Toll Gate Lekki Lagos,6500000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Detached Duplex With Bq,Ikota Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Maisonette,Ikate Lekki Lagos,22000000.0,4.0,4.0,Lekki,maisonette,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,18000000.0,3.0,3.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Lekki 2nd Toll Gate Lekki Lagos,5500000.0,2.0,2.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Semi Detached Duplex,2nd Toll Gate Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 4 Bedroom Detached Duplex,Orchid Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment With Bq,Ikate Lekki Lagos,7000000.0,3.0,3.0,Lekki,flat & apartment,Old
Stunning 5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,25000000.0,5.0,5.0,Lekki,duplex,Old
3 Bedroom Apartment,Ologolo Lekki Lagos,9500000.0,3.0,3.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos,9000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex With Bq,Oniru Victoria Island Lagos,25000000.0,4.0,4.0,Victoria Island,duplex,Old
5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,50000000.0,5.0,5.0,Lekki,duplex,Old
Newly Built 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,New
Modern 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,15000000.0,3.0,3.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Sangotedo Ajah Lagos,7000000.0,4.0,4.0,Ajah,duplex,Old
4 Bedroom Terraced Duplex,Ikota Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
Stunning 3 Bedroom Maisonette,Oniru Victoria Island Lagos,20000000.0,3.0,3.0,Victoria Island,maisonette,Old
Contemporary 5 Bedroom Semi Detached Duplex,Lekki Phase 1 Lekki Lagos,40000000.0,5.0,5.0,Lekki,duplex,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,35000000.0,3.0,3.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,8500000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,15000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Ikota Lekki Lagos,6500000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,30000000.0,4.0,4.0,Lekki,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,7000000.0,2.0,2.0,Lekki,flat & apartment,Old
2 Bedroom Apartment,Ilasan Lekki Lagos,10000000.0,2.0,2.0,Lekki,flat & apartment,Old
Newly Built 3 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,18000000.0,3.0,3.0,Lekki,duplex,New
3 Bedroom Maisonette,Ikate Lekki Lagos,9000000.0,3.0,3.0,Lekki,maisonette,Old
4 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,25000000.0,4.0,4.0,Lekki,maisonette,Old
2 Bedroom Apartment,Ologolo Lekki Lagos,8000000.0,2.0,2.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Terrace Duplex,Ikoyi Lagos,45000000.0,4.0,4.0,Ikoyi,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,12000000.0,2.0,2.0,Lekki,flat & apartment,Old
3 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,25000000.0,3.0,3.0,Lekki,maisonette,Old
3 Bedroom Apartment,Ikota Lekki Lagos,6500000.0,3.0,3.0,Lekki,flat & apartment,Old
Lovely 5 Bedroom Detached Duplex,Osapa London Lekki Lagos,12000000.0,5.0,5.0,Lekki,duplex,Old
4 Bedroom Terraced Duplex,Lekki Phase 1 Lekki Lagos,23000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,20000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 5 Bedroom Detached Duplex,Ologolo Lekki Lagos,10000000.0,5.0,5.0,Lekki,duplex,Old
Well Built 3 Bedroom Maisonette,Ajah Lagos,6000000.0,3.0,3.0,Ajah,maisonette,Old
Lovely 4 Bedroom Terrace Duplex,Harris Drive Vgc Lekki Lagos,6000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex With Bq,Platinum Way Ikate Lekki Lagos,14000000.0,4.0,4.0,Lekki,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,7000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,7500000.0,4.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment,Orchid Lekki Lagos,4500000.0,3.0,3.0,Lekki,flat & apartment,Old
Newly Built 4 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,New
5 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,15000000.0,5.0,5.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
Luxury Furnished 5 Bedroom Fully Detached Duplex + Bq,Osapa London Lekki Lagos,30000000.0,5.0,5.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Ikota Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
8 Bedroom Detached Duplex,Victoria Island Lagos,50000000.0,8.0,8.0,Victoria Island,duplex,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,25000000.0,3.0,3.0,Lekki,flat & apartment,Old
Furnished 4 Bedroom Semi Detached Duplex,Osapa London Lekki Lagos,20000000.0,4.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,12000000.0,3.0,3.0,Lekki,flat & apartment,Old
2 Bedroom Penthouse,Victoria Island Lagos,23000000.0,2.0,2.0,Victoria Island,penthouse,Old
Brand New 4 Bedroom Terrace Duplex,Ikota Lekki Lagos,7000000.0,4.0,4.0,Lekki,duplex,New
Serviced 4 Bedroom Terrace Duplex,Ikota Lekki Lagos,6500000.0,4.0,4.0,Lekki,duplex,Old
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,14000000.0,3.0,3.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Detached Duplex,Osapa London Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 2 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,14000000.0,2.0,2.0,Lekki,maisonette,Old
Serviced 1 Bedroom Apartment,Ikate Lekki Lagos,5500000.0,1.0,1.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,30000000.0,4.0,4.0,Lekki,maisonette,Old
Furnished 2 Bedroom Apartment,Ikate Lekki Lagos,18000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Victoria Island Lagos,40000000.0,4.0,4.0,Victoria Island,duplex,Old
4 Bedroom Detached Duplex,Orchid Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Newly Built 3 Bedroom Terrace Duplex,Ikota Lekki Lagos,7000000.0,3.0,3.0,Lekki,duplex,New
Furnished 5 Bedroom Detached Duplex With Pool,"Megamond Estate ,lekki Lagos Chevron Lekki Lagos",30000000.0,5.0,5.0,Lekki,duplex,Old
4 Bedroom Detached Duplex,Ikota Lekki Lagos,11000000.0,4.0,4.0,Lekki,duplex,Old
Serviced 2 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,2.0,2.0,Lekki,flat & apartment,Old
Brand New 3 Bedroom Apartment,Ikate Lekki Lagos,15000000.0,3.0,3.0,Lekki,flat & apartment,New
Lovely 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,8000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,9000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 2 Bedroom Maisonette,Lekki Phase 1 Lekki Lagos,10000000.0,2.0,2.0,Lekki,maisonette,Old
4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,25000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex,Ikota Lekki Lagos,10500000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Maisonette,Ologolo Lekki Lagos,8000000.0,4.0,4.0,Lekki,maisonette,Old
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,30000000.0,3.0,3.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Maisonette,Old Ikoyi Ikoyi Lagos,50000000.0,4.0,4.0,Ikoyi,maisonette,Old
Lovely 3 Bedroom Apartment,Ikate Lekki Lagos,10000000.0,3.0,3.0,Lekki,flat & apartment,Old
Furnished 4 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 4 Bedroom Detached Duplex,Orchid Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
Beautifully Built 1 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,10500000.0,1.0,1.0,Lekki,flat & apartment,Old
Lovely 4 Bedroom Semi Detached Duplex,Vgc Lekki Lagos,10000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Lovely 5 Bedroom Detached Duplex,Orchid Lekki Lagos,17000000.0,5.0,5.0,Lekki,duplex,Old
Newly Built 2 Bedroom Flat,By Nicon Town Ikate Lekki Lagos,9000000.0,2.0,3.0,Lekki,flat & apartment,New
Newly Built 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,18000000.0,3.0,3.0,Lekki,flat & apartment,New
Newly Built 2 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,18000000.0,2.0,2.0,Lekki,flat & apartment,New
4 Bedroom Terraced Duplex,Ikate Lekki Lagos,11000000.0,4.0,4.0,Lekki,duplex,Old
2 Bedroom Apartment,Ikate Lekki Lagos,7500000.0,2.0,4.0,Lekki,flat & apartment,Old
4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos,12000000.0,4.0,4.0,Lekki,duplex,Old
Contemporary 4 Bedroom Detached Duplex,Orchid Lekki Lagos,11000000.0,4.0,4.0,Lekki,duplex,Old
5 Bedroom Detached Duplex,Platinum Way Ikate Lekki Lagos,25000000.0,5.0,5.0,Lekki,duplex,Old
Newly Built 1 Bedroom,Lekki Phase 1 Lekki Lagos,95000.0,1.0,1.0,Lekki,,New
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,20000000.0,2.0,2.0,Lekki,flat & apartment,Old
Newly Built 4 Bedroom Terrace Duplex With Bq,Orchid Lekki Lagos,11000000.0,4.0,5.0,Lekki,duplex,New
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,14000000.0,2.0,2.0,Lekki,flat & apartment,Old
Modern 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,12000000.0,2.0,2.0,Lekki,flat & apartment,Old
4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,18000000.0,4.0,4.0,Lekki,duplex,Old
4 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos,50000000.0,4.0,4.0,Ikoyi,flat & apartment,Old
Luxury 5 Bedroom Fully Detached House+3bq+pool,Parkview Estate Parkview Estate Ikoyi Lagos,50000000.0,5.0,5.0,Ikoyi,,Old
3 Bedroom Penthouse,Central Ikoyi Lagos,45000000.0,3.0,3.0,Ikoyi,penthouse,Old
3 Bedroom Apartment,Old Ikoyi Old Ikoyi Ikoyi Lagos,44500000.0,3.0,3.0,Ikoyi,flat & apartment,Old
